# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  7 13:44:30 2023
#
# User preference: *
#
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_eccen_err1: Eccentricity Upper Unc.
# COLUMN koi_eccen_err2: Eccentricity Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_dor_err1:   Planet-Star Distance over Star Radius Upper Unc.
# COLUMN koi_dor_err2:   Planet-Star Distance over Star Radius Lower Unc.
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
CONFIRMED,CANDIDATE,9.488035570,2.7750000e-05,-2.7750000e-05,0,,,2.95750,0.08190,-0.08190,2.26,2.600e-01,-1.500e-01,0.0853,,,89.66,,,793.0,,,24.810000,2.600000,-2.600000,5455.00,81.00,-81.00,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
CONFIRMED,CANDIDATE,54.418382700,2.4790000e-04,-2.4790000e-04,0,,,4.50700,0.11600,-0.11600,2.83,3.200e-01,-1.900e-01,0.2734,,,89.57,,,443.0,,,77.900000,28.400000,-28.400000,5455.00,81.00,-81.00,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
CANDIDATE,CANDIDATE,19.899139950,1.4940000e-05,-1.4940000e-05,0,,,1.78220,0.03410,-0.03410,14.60,3.920e+00,-1.310e+00,0.1419,,,88.96,,,638.0,,,53.500000,25.700000,-25.700000,5853.00,158.00,-176.00,0.8680,0.2330,-0.0780,0.9610,0.1100,-0.1210
FALSE POSITIVE,FALSE POSITIVE,1.736952453,2.6300000e-07,-2.6300000e-07,0,,,2.40641,0.00537,-0.00537,33.46,8.500e+00,-2.830e+00,0.0267,,,67.09,,,1395.0,,,3.278000,0.136000,-0.136000,5805.00,157.00,-174.00,0.7910,0.2010,-0.0670,0.8360,0.0930,-0.0770
CONFIRMED,CANDIDATE,2.525591777,3.7610000e-06,-3.7610000e-06,0,,,1.65450,0.04200,-0.04200,2.75,8.800e-01,-3.500e-01,0.0374,,,85.41,,,1406.0,,,8.750000,4.000000,-4.000000,6031.00,169.00,-211.00,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360
CONFIRMED,CANDIDATE,11.094320540,2.0360000e-05,-2.0360000e-05,0,,,4.59450,0.06100,-0.06100,3.90,1.270e+00,-4.200e-01,0.0992,,,88.11,,,835.0,,,16.360000,8.100000,-8.100000,6046.00,189.00,-232.00,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
CONFIRMED,CANDIDATE,4.134435120,1.0460000e-05,-1.0460000e-05,0,,,3.14020,0.06730,-0.06730,2.77,9.000e-01,-3.000e-01,0.0514,,,83.72,,,1160.0,,,6.960000,2.800000,-2.800000,6046.00,189.00,-232.00,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
CONFIRMED,CANDIDATE,2.566588970,1.7810000e-05,-1.7810000e-05,0,,,2.42900,0.16500,-0.16500,1.59,5.200e-01,-1.700e-01,0.0374,,,82.17,,,1360.0,,,5.540000,2.700000,-2.700000,6046.00,189.00,-232.00,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
FALSE POSITIVE,FALSE POSITIVE,7.361789580,2.1280000e-05,-2.1280000e-05,0,,,5.02200,0.13600,-0.13600,39.21,6.450e+00,-9.670e+00,0.0820,,,60.92,,,1342.0,,,2.400000,1.200000,-1.200000,6227.00,111.00,-124.00,1.9580,0.3220,-0.4830,1.3580,0.1210,-0.2070
CONFIRMED,CANDIDATE,16.068646740,1.0880000e-05,-1.0880000e-05,0,,,3.53470,0.02410,-0.02410,5.76,2.200e-01,-4.900e-01,0.1158,,,89.92,,,600.0,,,36.850000,1.200000,-1.200000,5031.00,75.00,-83.00,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
